,Mark,Model,Year,Type,Distance,Engine_capacity_cm3,Fuel_type,Transmission,Price(euro)
182,Volkswagen,Golf,2010,Hatchback,225550,2000,Petrol,2,9650
183,Daewoo,Kalos,2003,Hatchback,220000,1400,Petrol,1,2000
184,Nissan,Almera,2003,Hatchback,90000,1500,Petrol,1,1000
185,Renault,Grand Scenic,2013,Minivan,165000,1500,Diesel,1,7500
186,Honda,Clarity,2018,Hatchback,36000,1500,Plug-in Hybrid,2,18499
187,Toyota,Verso,2015,Minivan,102000,1800,Petrol,2,12500
188,BMW,5 Series,2004,Sedan,2899,2500,Petrol,1,6100
189,Mitsubishi,Outlander,2003,Crossover,208367,2000,Petrol,1,4600
190,Volkswagen,Touran,2011,Minivan,168000,1400,Petrol,1,7999
191,Toyota,Prius Prime,2019,Hatchback,2500,1800,Plug-in Hybrid,2,18999
192,KIA,Sorento,2017,Crossover,0,2200,Diesel,2,21490
193,Volkswagen,Transporter,2004,Microvan,190000,1896,Diesel,1,6300
194,Skoda,Octavia,2011,Universal,210000,1400,Petrol,1,6400
195,Lincoln,MKZ,2014,Sedan,160000,2000,Hybrid,2,12200
196,Renault,Scenic,2004,Universal,180000,1500,Diesel,1,3300
198,Toyota,Land Cruiser Prado,2007,Crossover,202000,2700,Metan/Propan,2,14600
199,Volkswagen,Polo,2017,Hatchback,170000,1422,Diesel,1,8200
201,Toyota,Corolla,2005,Hatchback,252,1400,Diesel,1,4600
202,Volkswagen,Jetta,2013,Sedan,198000,1400,Hybrid,2,8400
203,KIA,Rio,2004,Universal,183454,1300,Petrol,1,2500
205,Toyota,Corolla,2006,Hatchback,119000,1600,Petrol,2,5700
206,Opel,Corsa,2007,Hatchback,283000,1300,Diesel,1,3499
207,Toyota,Auris,2017,Hatchback,146000,1800,Hybrid,2,11900
208,Nissan,Qashqai,2015,Crossover,202000,1990,Petrol,1,7100
209,Ford,C-Max,2016,Microvan,141000,1500,Diesel,1,9000
210,Renault,Megane,2013,Minivan,220000,1500,Diesel,1,5000
211,Renault,Grand Scenic,2008,Hatchback,232012,1500,Diesel,1,3700
213,Nissan,Qashqai,2014,Crossover,219000,1500,Diesel,1,10999
214,Land Rover,Freelander,2007,SUV,300000,2200,Diesel,2,9200
216,Toyota,Prius,2011,Hatchback,121000,1800,Hybrid,2,7900
217,Hyundai,Matrix,2004,Universal,250000,1500,Diesel,1,4000
219,Toyota,Auris,2014,Universal,200000,1390,Diesel,1,8600
220,Audi,Q7,2013,SUV,143000,2000,Petrol,2,17850
221,Volkswagen,Caddy,2013,Universal,174000,2000,Diesel,1,9650
222,Audi,Q5,2013,SUV,143000,2000,Petrol,2,17850
223,Volkswagen,Caddy,2013,Universal,174000,2000,Diesel,1,9650
224,Volkswagen,Golf,2009,Universal,200000,1400,Petrol,1,4800
226,Nissan,Qashqai,2007,Crossover,137660,1500,Diesel,1,6600
227,Opel,Astra,2011,Universal,213548,1300,Diesel,1,5650
228,Toyota,Yaris,2006,Sedan,193096,1500,Petrol,1,3700
229,Opel,Calibra,1992,Coupe,400000,2000,Metan/Propan,1,1600
230,Renault,Kadjar,2016,Crossover,150425,1500,Diesel,2,14990
231,Ford,Fusion,2018,Sedan,105000,2000,Hybrid,2,15000
232,Volkswagen,Passat,2000,Combi,191000,1800,Metan/Propan,2,3850
233,Renault,Clio,1998,Hatchback,129448,1600,Petrol,2,2399
234,Renault,Grand Espace,2015,Minivan,168000,1600,Diesel,2,18650
235,BMW,3 Series,1994,Sedan,180000,1600,Petrol,1,2400
236,Toyota,Prius,2016,Hatchback,0,1800,Hybrid,2,12350
237,Skoda,Yeti,2015,Crossover,150000,1400,Petrol,2,11000
238,Land Rover,Discovery,2007,SUV,223000,2700,Diesel,2,15000
239,Volkswagen,Sharan,2011,Universal,141000,1400,Petrol,1,9800
240,Dacia,Lodgy,2013,Universal,0,1500,Diesel,1,7490
241,Volkswagen,Passat,2006,Sedan,250000,1922,Diesel,2,4600
242,Mercedes,E Class,2006,Sedan,250000,2200,Diesel,2,9999
243,Opel,Astra,2011,Universal,176000,1300,Diesel,1,6000
244,Audi,A4,2008,Universal,275,2000,Petrol,2,7999
245,Renault,Grand Scenic,2014,Universal,167000,1500,Diesel,2,8600
246,Dacia,Logan,2009,Universal,1,1600,Metan/Propan,1,3600
249,Peugeot,807,2006,Minivan,170000,2000,Diesel,2,2000
250,Honda,CR-V,2013,SUV,178500,2200,Diesel,1,15700
251,Skoda,Superb,2012,Sedan,265000,1800,Petrol,2,8999
252,Mercedes,E Class,2002,Sedan,331200,2200,Diesel,2,6399
253,Skoda,Superb,2017,Sedan,120000,1999,Petrol,2,23900
254,BMW,5 Series,2011,Sedan,123,2000,Diesel,2,16600
255,Volkswagen,Jetta,2013,Sedan,110000,1400,Hybrid,2,8000
256,Hyundai,ix35,2010,Pickup,190000,2000,Diesel,2,12000
257,Toyota,Prius c,2014,Hatchback,144947,1496,Hybrid,2,7499
258,Renault,Grand Scenic,2012,Universal,180000,1500,Diesel,1,7499
260,Renault,Talisman,2016,Sedan,151130,1500,Diesel,1,12499
261,Opel,Meriva,2005,Hatchback,0,1400,Petrol,1,3550
262,Renault,Megane,2006,Universal,170000,2000,Metan/Propan,1,2900
263,Nissan,Juke,2011,SUV,155000,1600,Petrol,2,9300
264,Subaru,Trezia,2011,Hatchback,116000,1400,Diesel,2,7300
265,Dacia,Logan,2007,Sedan,185000,1500,Diesel,1,3400
266,Nissan,X-Trail,2015,SUV,124000,1600,Diesel,2,13000
267,Mercedes,C Class,2015,Universal,222000,2000,Plug-in Hybrid,2,17500
268,Toyota,Rav 4,2016,Crossover,133494,2494,Hybrid,2,21500
270,BMW,5 Series,2011,Sedan,1,2000,Diesel,2,17500
271,Datsun,on-DO,2016,Sedan,150000,1596,Metan/Propan,1,3200
272,Seat,Ibiza,2011,Universal,190000,1200,Diesel,1,5100
273,Nissan,Juke,2012,Crossover,124000,1600,Petrol,2,9999
274,Audi,A4,1997,Sedan,300000,1800,Metan/Propan,2,2700
275,Opel,Astra,2012,Universal,200000,1300,Diesel,1,6000
276,Citroen,C5,2006,Universal,240000,1600,Diesel,1,2700
277,Mercedes,C Class,2015,Sedan,75000,2000,Petrol,2,19000
281,Ford,Fiesta 5D,2011,Hatchback,130000,1400,Metan/Propan,1,4700
282,Volkswagen,Touran,2009,Universal,168,1400,Petrol,2,7390
285,Renault,Megane,2014,Universal,210000,1500,Diesel,1,7199
287,Hyundai,Santa FE,2012,SUV,180000,2200,Diesel,2,16750
288,Skoda,Superb,2012,Sedan,196000,1600,Diesel,1,9950
289,Peugeot,307,2006,Coupe,150,1600,Petrol,1,1500
290,BMW,X3,2015,Crossover,159000,1996,Diesel,2,20500
291,BMW,3 Series,2003,Hatchback,190,1995,Petrol,2,2000
292,Nissan,Note,2013,Hatchback,172000,1461,Diesel,1,6299
295,Lexus,CT Series,2016,Hatchback,64000,1798,Hybrid,2,16000
296,Renault,Grand Modus,2011,Hatchback,174000,1461,Diesel,1,4550
297,Toyota,Auris,2010,Hatchback,187000,1400,Diesel,1,6500
298,Toyota,Auris,2007,Hatchback,235000,1500,Diesel,1,5400
299,Renault,Scenic,2012,Universal,1,1500,Diesel,1,6200
301,Volkswagen,Caddy,2014,Minivan,180000,1600,Diesel,1,5800
302,Opel,Corsa,2011,Hatchback,125000,1300,Diesel,1,3750
304,Honda,CR-V,2013,Crossover,192000,2200,Diesel,2,17500
305,Mitsubishi,Space Wagon,1995,Minivan,300000,2000,Metan/Propan,1,2500
306,Volkswagen,Polo,2007,Hatchback,240000,1400,Diesel,1,3750
308,Hyundai,Santa FE,2015,Crossover,161000,2000,Diesel,2,18000
309,Mazda,6,2014,Sedan,230000,2200,Diesel,2,13000
310,Volkswagen,Caddy,2015,Microvan,152000,1600,Diesel,1,10300
311,BMW,5 Series,2006,Sedan,312000,2500,Petrol,2,7800
312,BMW,5 Series,2002,Sedan,251000,2499,Diesel,1,4650
314,Volkswagen,Golf,2009,Universal,180000,1400,Petrol,1,5300
315,Toyota,Corolla,2007,Universal,226000,1400,Diesel,1,5500
316,Audi,A4,2004,Cabriolet,200000,1800,Petrol,2,6500
318,Toyota,Auris,2013,Hatchback,133000,1798,Hybrid,2,10000
319,Volkswagen,Jetta,2013,Sedan,131000,1400,Hybrid,2,8500
320,Opel,Astra,2006,Universal,368000,1300,Diesel,1,3650
322,Mercedes,E Class,2000,Sedan,258,1700,Diesel,2,2900
323,Skoda,Fabia,2011,Universal,160000,1200,Diesel,1,4999
324,Skoda,Octavia,2010,Universal,1,1400,Petrol,1,5350
326,Honda,Civic,2006,Hatchback,195000,1400,Petrol,1,5400
327,Ford,Fusion,2015,Sedan,124000,2000,Plug-in Hybrid,2,11499
328,Ford,Fusion,2003,Hatchback,330000,1400,Diesel,2,4100
329,Dacia,Logan,2005,Sedan,21548,1400,Metan/Propan,1,2200
330,Volkswagen,Golf,2004,Hatchback,200000,1399,Petrol,1,4200
331,Mercedes,GLK Class,2014,Crossover,131000,2200,Diesel,2,19900
332,Renault,Scenic,2002,Microvan,100,1600,Metan/Propan,1,1000
333,Toyota,Carina,1998,Sedan,268000,1800,Petrol,1,2650
334,Honda,CR-V,2014,Crossover,128200,2200,Diesel,2,17999
337,Volkswagen,Polo,1998,Hatchback,98000,1000,Petrol,1,900
338,Toyota,Camry,2015,Sedan,73179,2500,Petrol,2,14000
341,Hyundai,ix35,2014,Crossover,150300,2000,Petrol,2,13200
343,Renault,Kadjar,2015,Crossover,139000,1461,Diesel,2,12800
344,Opel,Astra,2006,Hatchback,360000,1300,Diesel,1,2999
346,Volkswagen,Transporter,2010,Minivan,203000,2000,Diesel,1,8250
347,Volkswagen,Caddy,2008,Minivan,270,2000,Diesel,1,6700
348,Honda,Accord,1996,Sedan,325000,1997,Petrol,1,2200
349,Skoda,Superb,2014,Sedan,202300,1598,Diesel,2,13199
351,Renault,Megane,2012,Universal,162200,1461,Diesel,1,5899
352,Skoda,Octavia,2018,Universal,146600,1600,Diesel,2,12700
353,Opel,Astra,2010,Hatchback,97000,1598,Petrol,2,7700
354,Toyota,Auris,2014,Universal,191000,1800,Metan/Propan,2,9700
355,Toyota,Camry,2018,Sedan,60000,2500,Metan/Propan,2,20000
356,Renault,Grand Scenic,2013,Universal,190000,1500,Diesel,1,8500
357,Renault,Kadjar,2015,SUV,184000,1500,Diesel,2,10999
358,Volvo,XC90,2006,SUV,294000,2400,Diesel,2,8500
359,Volkswagen,Golf,2010,Hatchback,164000,1400,Petrol,2,7650
360,Lexus,CT Series,2011,Hatchback,122841,1800,Hybrid,2,11600
361,Mazda,2,2008,Hatchback,172000,1399,Diesel,1,4999
363,Skoda,Octavia,2009,Universal,235000,1400,Petrol,2,6200
364,Fiat,Doblo,2012,Combi,256000,1300,Diesel,1,4490
366,Mercedes,Vito,2014,Microvan,194000,1991,Metan/Propan,2,10000
367,Dacia,Duster,2012,Crossover,67000,1500,Diesel,1,7200
369,Peugeot,308,2011,Hatchback,160,1600,Petrol,2,5300
370,Skoda,Superb,2016,Sedan,180000,2000,Diesel,2,17450
371,Renault,Grand Scenic,2017,Minivan,135000,1462,Diesel,2,15850
372,Mini,Cooper S,2015,Hatchback,84000,1600,Petrol,2,10900
373,Toyota,Avensis Verso,2002,Minivan,280000,2000,Diesel,1,3150
374,Land Rover,Freelander,2001,SUV,230000,1900,Metan/Propan,1,3500
375,Opel,Astra,2011,Universal,200123,2000,Diesel,1,8200
376,Volkswagen,Polo,2000,Hatchback,264000,1400,Petrol,1,2500
378,Vaz,Altele,2008,Universal,92424,1600,Metan/Propan,1,3399
380,Hyundai,i20,2013,Hatchback,122000,1385,Petrol,1,4800
381,Skoda,Octavia,2007,Hatchback,335165,1986,Diesel,2,6750
382,Renault,Grand Scenic,2017,Minivan,175000,1462,Diesel,2,16000
383,Mercedes,Vito,2010,Minivan,220000,2200,Diesel,1,7500
385,Dacia,Logan,2011,Sedan,230000,1200,Metan/Propan,1,2800
386,Toyota,Urban Cruiser,2011,Sedan,192000,1400,Diesel,1,6800
388,Toyota,Aygo,2007,Hatchback,72000,1000,Petrol,2,4400
389,Renault,Scenic,2012,Microvan,240000,1500,Diesel,1,6800
390,Toyota,Land Cruiser Prado,2006,SUV,205000,2700,Metan/Propan,2,14800
391,Skoda,Superb,2017,Sedan,176000,2000,Diesel,2,19450
392,Opel,Corsa,2006,Hatchback,164274,1300,Diesel,1,2999
393,Volkswagen,Tiguan,2008,SUV,179000,1400,Petrol,1,7200
394,Changan,CS35PLUS,2021,Crossover,0,1589,Petrol,2,14500
395,Skoda,Fabia,2002,Hatchback,230000,1400,Petrol,1,950
397,Rover,45,2001,Sedan,278000,2000,Diesel,1,2650
398,Fiat,Stilo,2004,Universal,200000,1600,Metan/Propan,1,3000
399,Dacia,Duster,2011,Crossover,202176,1500,Diesel,1,6900
400,Skoda,Superb,2009,Sedan,265000,1800,Petrol,1,5950
401,Volkswagen,Passat,2011,Universal,244000,1600,Diesel,1,9600
402,Skoda,Rapid,2016,Sedan,188000,1422,Diesel,1,7750
403,Nissan,Qashqai+2,2011,Microvan,207000,1500,Diesel,1,7800
404,Ford,Fusion,2018,Sedan,33339,2000,Plug-in Hybrid,2,20800
406,Ford,Focus,2017,Universal,160000,1500,Diesel,1,7200
407,Mercedes,E Class,2008,Sedan,230000,1800,Metan/Propan,2,7700
409,Mercedes,E Class,2000,Sedan,303000,2000,Metan/Propan,2,3800
410,Dacia,Sandero,2012,Hatchback,111896,1200,Petrol,1,3499
411,Toyota,Prius,2012,Universal,165000,1800,Hybrid,2,9200
412,Toyota,Auris,2015,Universal,169265,1800,Hybrid,2,12650
413,Hyundai,Getz,2007,Hatchback,172316,1400,Petrol,1,2800
414,Volvo,V40,2016,Hatchback,184500,1500,Petrol,1,15499
416,Mercedes,C Class,2017,Sedan,127000,2000,Petrol,2,21990
417,BMW,3 Series,2007,Sedan,193000,1988,Petrol,2,7600
418,Audi,A4,1996,Sedan,256000,1800,Petrol,1,2300
419,Volvo,V60,2013,Universal,162000,2400,Plug-in Hybrid,2,15000
420,Volkswagen,Golf,2019,Hatchback,26000,1400,Petrol,1,12990
421,Toyota,Avensis,2007,Combi,220000,1600,Petrol,1,6500
422,Hyundai,ix35,2012,SUV,199000,2000,Diesel,1,11800
423,Skoda,Octavia,2014,Sedan,216000,1600,Diesel,2,10700
424,Volvo,V40,2016,Hatchback,184500,1500,Petrol,2,15499
425,Volkswagen,Golf,2019,Hatchback,26000,1400,Petrol,2,12990
426,Volkswagen,Jetta,2013,Sedan,188000,1400,Hybrid,2,8800
427,Skoda,Fabia,2012,Universal,212700,1200,Diesel,1,5450
428,Opel,Astra,2005,Universal,270000,1800,Petrol,1,3500
429,Volkswagen,Passat CC,2013,Sedan,60000,2000,Petrol,2,12700
431,Chevrolet,Captiva,2011,Crossover,90000,2200,Diesel,2,13300
432,Toyota,Avensis,2014,Sedan,143000,2000,Diesel,1,11700
434,Mercedes,E Class,2008,Sedan,230000,1800,Metan/Propan,2,7800
435,Saab,9-3,2007,Sedan,194777,2000,Petrol,2,5000
436,Skoda,Octavia,2008,Universal,200000,1900,Diesel,1,5000
437,Toyota,Prius v,2016,Hatchback,144000,1800,Hybrid,2,12300
438,Volvo,Altele,1995,Hatchback,5000,2400,Diesel,1,1700
439,Mercedes,E Class,2002,Sedan,256000,2700,Diesel,2,5500
442,Opel,Astra,2006,Hatchback,250000,1300,Diesel,1,4500
443,Volkswagen,Jetta,2015,Sedan,173000,1400,Petrol,2,8600
445,Toyota,Land Cruiser Prado,2006,SUV,220000,2700,Metan/Propan,2,13500
446,Nissan,Micra,2018,Hatchback,95000,900,Petrol,1,10500
447,Hyundai,Santa FE,2011,Crossover,169000,2200,Diesel,2,13990
448,BMW,5 Series,2012,Sedan,200000,2000,Petrol,2,11500
449,KIA,Optima,2014,Sedan,60000,2000,Metan/Propan,2,9900
450,Volkswagen,Caddy,2009,Minivan,276555,1595,Petrol,1,9500
451,Opel,Astra,2005,Universal,227000,1600,Metan/Propan,1,4650
452,Mitsubishi,Pajero Pinin,2003,Crossover,230000,1800,Metan/Propan,2,4900
453,Volkswagen,Golf,1993,Hatchback,100,1800,Petrol,1,1600
454,KIA,Ceed Sw,2010,Universal,150000,1400,Petrol,1,6000
455,Renault,Grand Scenic,2004,Universal,139000,1500,Diesel,1,3700
456,Mercedes,C Class,2012,Sedan,206000,2200,Diesel,1,14399
