Mark_0,Mark_1,Mark_2,Mark_3,Mark_4,Mark_5,Mark_6,Model_0,Model_1,Model_2,Model_3,Model_4,Model_5,Model_6,Model_7,Model_8,Model_9,Year,Type_0,Type_1,Type_2,Type_3,Distance,Engine_capacity_cm3,Fuel_type_0,Fuel_type_1,Fuel_type_2,Transmission,Price(euro)
0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,2014,0,1,0,1,231250,2000,0,1,0,2,18000
0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,2004,0,1,1,1,12000,1700,0,1,1,1,1800
0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1998,0,1,0,1,11111,2500,0,1,1,1,3200
0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,2014,0,0,0,1,87100,1200,0,1,1,1,7950
0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,2000,0,1,0,1,420000,1600,1,0,0,1,2999
0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,2002,0,1,1,1,2,2000,0,1,1,1,4299
0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2002,0,0,1,0,275100,2000,0,1,1,1,5900
0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,2015,0,1,0,1,180236,2000,0,1,0,2,21500
0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2010,0,1,1,0,183000,2200,0,1,0,1,12999
0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,2011,0,0,0,1,195000,1500,0,1,0,1,5250
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2010,0,0,0,1,190000,1300,0,1,0,1,6500
0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,2016,0,0,1,0,116000,1598,0,1,1,2,10300
0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,2006,0,1,1,1,250000,2000,0,1,0,1,6900
0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,2015,0,1,1,0,149000,1200,0,1,1,2,12500
0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,2016,0,1,0,1,170000,2000,0,1,0,2,17490
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2008,0,0,0,1,1,1500,0,0,1,2,6800
0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,2006,0,0,1,0,256000,1400,0,1,0,1,5490
0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,0,2002,0,1,0,0,255000,2000,0,1,1,1,3990
0,0,1,0,1,1,1,0,0,0,0,1,0,1,1,1,1,2011,0,0,0,1,190000,1400,1,0,1,2,9150
0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,2002,0,0,1,0,270000,1800,0,1,1,1,2550
0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,2000,0,1,0,1,254604,2500,0,1,1,1,4500
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,2009,0,0,1,0,165000,1500,0,1,0,1,4999
0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,2017,0,1,1,0,115000,1800,0,0,1,2,17999
0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,2012,0,1,0,1,150000,2500,0,1,0,2,14490
0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,2006,0,0,0,1,280000,1461,0,1,0,1,4299
0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,2011,0,0,1,1,176,1400,0,1,0,1,5800
0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,1,2012,0,0,0,1,145000,1400,0,1,0,2,6899
0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1997,0,1,0,1,29800,2400,1,0,0,1,2750
0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,2013,0,1,0,1,178000,2000,0,0,1,2,9290
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2014,0,1,0,1,140000,800,1,0,1,2,11200
0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,1993,0,1,0,1,300000,1800,0,1,1,1,1700
0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,1,1,2003,0,0,0,1,1,1200,0,1,1,1,2650
0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,2009,0,0,0,1,1,1600,0,1,0,1,4700
0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,2017,0,1,1,0,129000,1500,0,1,0,2,10990
0,0,1,1,0,1,1,0,0,0,0,1,1,1,0,1,0,2012,0,0,0,1,193000,1800,0,0,1,2,10950
