Year,Type_1,Type_3,Distance,Engine_capacity_cm3,Transmission,Price(euro)
0.6875,0.0,1.0,0.4431818181818182,0.5329949238578681,1.0,7750
0.78125,0.0,0.0,0.3068181818181818,0.3807106598984772,0.0,8550
0.28125,0.0,1.0,2.2727272727272728e-06,0.3299492385786802,0.0,2200
0.71875,0.0,0.0,0.25,0.3807106598984772,0.0,6550
0.53125,0.0,0.0,0.4545454545454545,0.4314720812182741,0.0,4100
0.34375,0.0,1.0,0.6818181818181819,0.7360406091370558,0.0,3490
0.65625,0.0,0.0,0.6590909090909091,0.3248730964467005,0.0,5600
0.65625,1.0,0.0,0.5,0.8375634517766498,1.0,17000
0.0625,1.0,1.0,0.5454545454545454,0.7868020304568529,0.0,2850
0.65625,1.0,1.0,0.4772727272727273,0.7360406091370558,1.0,11400
0.5,0.0,0.0,5.227272727272728e-05,0.2791878172588832,0.0,1550
0.5625,0.0,0.0,0.5417522727272728,0.3299492385786802,1.0,5000
0.65625,0.0,1.0,0.3409090909090909,0.2284263959390863,0.0,5500
0.71875,1.0,0.0,0.4090909090909091,0.8375634517766498,1.0,15900
0.6875,1.0,0.0,0.5704545454545454,0.3807106598984772,0.0,8300
0.5,0.0,0.0,0.8704545454545455,0.3807106598984772,0.0,3200
0.625,0.0,1.0,0.5636363636363636,0.634517766497462,1.0,9299
0.46875,0.0,0.0,0.7159090909090909,0.5329949238578681,0.0,6900
0.09375,1.0,1.0,0.1545454545454545,0.8604060913705583,0.0,2222
0.6875,0.0,0.0,0.3886363636363636,0.3807106598984772,0.0,5700
0.78125,1.0,1.0,0.6261363636363636,0.7360406091370558,1.0,18350
0.875,1.0,1.0,0.3568181818181818,0.633502538071066,1.0,17800
0.59375,0.0,1.0,0.2579227272727273,0.633502538071066,1.0,4495
0.34375,0.0,1.0,2.2727272727272728e-06,0.3299492385786802,0.0,2100
0.125,1.0,1.0,0.5340909090909091,0.634517766497462,0.0,2950
0.71875,1.0,1.0,0.4068181818181818,0.3299492385786802,1.0,9800
0.8125,1.0,0.0,0.3858568181818181,0.634517766497462,1.0,16888
0.15625,1.0,1.0,0.7727272727272727,0.5329949238578681,0.0,1500
0.75,0.0,0.0,0.0006818181818181,0.7360406091370558,1.0,11000
0.21875,1.0,1.0,0.0,0.5329949238578681,0.0,1800
0.65625,0.0,0.0,0.5181818181818182,0.3299492385786802,1.0,5700
0.65625,1.0,1.0,0.4204545454545454,0.3299492385786802,0.0,6500
0.625,0.0,1.0,0.4554886363636363,0.3807106598984772,0.0,6200
0.84375,1.0,1.0,0.3090909090909091,0.634517766497462,1.0,13200
0.78125,1.0,1.0,0.4431818181818182,0.2284263959390863,0.0,3999
0.8125,1.0,0.0,0.3863636363636363,0.3807106598984772,0.0,8800
0.65625,0.0,0.0,0.4352272727272727,0.3299492385786802,0.0,5700
0.3125,1.0,1.0,2.2727272727272728e-06,0.7868020304568529,0.0,4150
0.75,1.0,1.0,2.2727272727272728e-06,0.2284263959390863,0.0,7599
0.0625,1.0,1.0,0.6818181818181819,0.5329949238578681,0.0,1150
0.46875,1.0,1.0,0.5681818181818182,0.634517766497462,0.0,4499
0.8125,1.0,0.0,0.359090909090909,0.3807106598984772,0.0,11750
0.90625,1.0,0.0,0.3,0.3807106598984772,1.0,16500
0.5,0.0,0.0,0.0252522727272727,0.3807106598984772,0.0,3200
0.75,1.0,0.0,0.4090909090909091,0.3807106598984772,0.0,8999
0.71875,1.0,1.0,0.3446772727272727,0.5329949238578681,0.0,3899
0.8125,0.0,1.0,0.4215454545454545,0.3609137055837563,0.0,7550
0.5625,0.0,1.0,0.6954272727272728,0.3299492385786802,0.0,3250
0.78125,1.0,1.0,0.5255681818181819,0.634517766497462,1.0,18000
0.46875,1.0,1.0,0.0272727272727272,0.482233502538071,0.0,1800
0.28125,1.0,1.0,0.0252522727272727,0.8883248730964467,0.0,3200
0.78125,0.0,1.0,0.1979545454545454,0.2284263959390863,0.0,7950
0.34375,1.0,1.0,0.9545454545454546,0.4314720812182741,0.0,2999
0.40625,1.0,1.0,4.5454545454545455e-06,0.634517766497462,0.0,4299
0.40625,0.0,0.0,0.6252272727272727,0.634517766497462,0.0,5900
0.8125,1.0,1.0,0.4096272727272727,0.634517766497462,1.0,21500
0.65625,1.0,0.0,0.4159090909090909,0.7360406091370558,0.0,12999
0.6875,0.0,1.0,0.4431818181818182,0.3807106598984772,0.0,5250
0.65625,0.0,1.0,0.4318181818181818,0.2791878172588832,0.0,6500
0.84375,0.0,0.0,0.2636363636363636,0.4304568527918782,1.0,10300
0.53125,1.0,1.0,0.5681818181818182,0.634517766497462,0.0,6900
0.8125,1.0,0.0,0.3386363636363636,0.2284263959390863,1.0,12500
0.84375,1.0,1.0,0.3863636363636363,0.634517766497462,1.0,17490
0.59375,0.0,1.0,2.2727272727272728e-06,0.3807106598984772,1.0,6800
0.53125,0.0,0.0,0.5818181818181818,0.3299492385786802,0.0,5490
0.40625,1.0,0.0,0.5795454545454546,0.634517766497462,0.0,3990
0.6875,0.0,1.0,0.4318181818181818,0.3299492385786802,1.0,9150
0.40625,0.0,0.0,0.6136363636363636,0.5329949238578681,0.0,2550
0.34375,1.0,1.0,0.5786454545454546,0.8883248730964467,0.0,4500
0.625,0.0,0.0,0.375,0.3807106598984772,0.0,4999
0.875,1.0,0.0,0.2613636363636363,0.5329949238578681,1.0,17999
0.71875,1.0,1.0,0.3409090909090909,0.8883248730964467,1.0,14490
0.53125,0.0,1.0,0.6363636363636364,0.3609137055837563,0.0,4299
0.6875,0.0,1.0,0.0004,0.3299492385786802,0.0,5800
0.71875,0.0,1.0,0.3295454545454545,0.3299492385786802,1.0,6899
0.25,1.0,1.0,0.0677272727272727,0.8375634517766498,0.0,2750
0.75,1.0,1.0,0.4045454545454545,0.634517766497462,1.0,9290
0.78125,1.0,1.0,0.3181818181818182,0.0253807106598984,1.0,11200
0.125,1.0,1.0,0.6818181818181819,0.5329949238578681,0.0,1700
0.4375,0.0,1.0,2.2727272727272728e-06,0.2284263959390863,0.0,2650
0.625,0.0,1.0,2.2727272727272728e-06,0.4314720812182741,0.0,4700
0.875,1.0,0.0,0.2931818181818182,0.3807106598984772,1.0,10990
0.71875,0.0,1.0,0.4386363636363636,0.5329949238578681,1.0,10950
0.65625,1.0,0.0,0.4590909090909091,0.8375634517766498,1.0,14750
0.75,1.0,1.0,0.475,0.3807106598984772,0.0,5750
0.65625,0.0,1.0,0.3295454545454545,0.3299492385786802,0.0,4750
0.71875,0.0,1.0,0.4409090909090909,0.5329949238578681,1.0,9999
0.59375,1.0,0.0,0.5659090909090909,0.8375634517766498,0.0,11500
0.59375,0.0,1.0,0.3227272727272727,0.1776649746192893,0.0,3499
0.5,0.0,1.0,0.5909090909090909,0.3807106598984772,1.0,4750
0.40625,0.0,0.0,0.5454545454545454,0.7868020304568529,0.0,3499
0.71875,1.0,1.0,0.2727272727272727,0.7360406091370558,1.0,15999
0.65625,1.0,1.0,0.4136363636363636,0.5329949238578681,1.0,11750
0.5,0.0,0.0,0.6818181818181819,0.634517766497462,0.0,4999
0.59375,0.0,0.0,0.7045454545454546,0.2791878172588832,0.0,4850
0.78125,1.0,1.0,0.4227272727272727,0.4314720812182741,1.0,12300
0.6875,0.0,1.0,0.3409090909090909,0.634517766497462,0.0,12800
0.34375,1.0,1.0,0.5863636363636364,0.7360406091370558,1.0,2999
0.34375,1.0,1.0,0.0022704545454545,0.634517766497462,1.0,3199
0.65625,0.0,1.0,2.2727272727272728e-06,0.3299492385786802,1.0,8990
0.84375,1.0,0.0,0.3431818181818182,0.3807106598984772,0.0,13890
0.65625,0.0,0.0,0.5843409090909091,0.3807106598984772,0.0,4999
0.84375,1.0,1.0,0.3795454545454546,0.3807106598984772,0.0,12990
0.90625,1.0,0.0,0.2590909090909091,0.5329949238578681,1.0,16750
0.875,1.0,0.0,0.3581818181818182,0.3807106598984772,0.0,11990
0.78125,0.0,0.0,0.4318181818181818,0.5329949238578681,1.0,8990
0.875,1.0,0.0,0.2704545454545454,0.5329949238578681,1.0,18790
0.90625,1.0,0.0,0.3295454545454545,0.3807106598984772,1.0,16790
0.84375,1.0,0.0,0.3413636363636363,0.3807106598984772,1.0,13450
0.8125,1.0,0.0,0.3386363636363636,0.8883248730964467,1.0,21750
0.53125,1.0,1.0,0.4909090909090909,0.634517766497462,1.0,5350
0.84375,1.0,0.0,0.2,0.3807106598984772,1.0,15790
0.40625,1.0,1.0,9.090909090909093e-06,0.5329949238578681,1.0,2700
0.46875,1.0,1.0,2.2727272727272728e-06,0.5329949238578681,0.0,3600
0.4375,0.0,1.0,2.2727272727272728e-06,0.7360406091370558,0.0,4600
0.5625,0.0,0.0,0.7272727272727273,0.4314720812182741,0.0,5999
0.53125,0.0,1.0,0.6772727272727272,0.3807106598984772,0.0,2999
0.875,0.0,1.0,0.0616772727272727,0.3807106598984772,1.0,13300
0.53125,1.0,1.0,2.2727272727272728e-06,0.8883248730964467,1.0,6350
0.84375,1.0,0.0,0.3181818181818182,0.3807106598984772,1.0,12400
0.71875,1.0,1.0,0.3772727272727272,0.4314720812182741,1.0,8990
0.34375,0.0,1.0,2.2727272727272728e-06,0.3299492385786802,0.0,2750
0.625,1.0,1.0,0.5068181818181818,0.634517766497462,1.0,8990
0.53125,0.0,0.0,0.4512795454545454,0.3299492385786802,1.0,5350
0.34375,1.0,0.0,0.5227272727272727,0.634517766497462,0.0,2750
0.1875,0.0,0.0,0.5690204545454546,0.5329949238578681,0.0,2700
0.5,1.0,1.0,0.5696181818181818,0.634517766497462,0.0,2690
0.28125,0.0,0.0,0.6818181818181819,0.583756345177665,0.0,1450
0.71875,1.0,1.0,0.3761363636363636,0.2284263959390863,0.0,5100
0.65625,0.0,1.0,2.2727272727272728e-06,0.3248730964467005,0.0,6099
0.6875,1.0,0.0,0.5636363636363636,0.634517766497462,1.0,9900
0.84375,0.0,0.0,0.3863636363636363,0.3802030456852792,0.0,8890
0.59375,0.0,0.0,0.5568181818181819,0.3807106598984772,0.0,3600
0.3125,0.0,0.0,0.6590909090909091,0.3807106598984772,0.0,1800
0.46875,1.0,1.0,0.0006818181818181,0.634517766497462,0.0,5000
0.5625,1.0,1.0,0.4795454545454545,0.3299492385786802,0.0,2900
0.71875,1.0,1.0,0.3788636363636363,0.634517766497462,1.0,10200
0.84375,0.0,1.0,0.3295454545454545,0.3299492385786802,1.0,16450
0.78125,1.0,1.0,0.1856818181818182,0.5329949238578681,1.0,12450
0.75,0.0,0.0,0.3246931818181818,0.3299492385786802,0.0,8700
0.5625,1.0,1.0,0.3087840909090909,0.3299492385786802,0.0,1500
0.75,1.0,1.0,0.4113636363636364,0.3807106598984772,1.0,7000
0.78125,0.0,0.0,0.3522727272727273,0.3299492385786802,1.0,9700
0.8125,1.0,1.0,0.3727272727272727,0.4314720812182741,1.0,12750
0.65625,0.0,0.0,0.3422477272727273,0.3299492385786802,0.0,7999
0.8125,0.0,0.0,0.3466431818181818,0.3807106598984772,1.0,9300
0.5625,0.0,0.0,0.4318181818181818,0.2791878172588832,0.0,4499
0.78125,0.0,0.0,0.375,0.634517766497462,0.0,15600
0.6875,0.0,1.0,0.4142068181818182,0.531979695431472,1.0,8200
0.59375,0.0,1.0,0.4204545454545454,0.2791878172588832,1.0,3600
0.71875,0.0,1.0,0.425,0.2791878172588832,0.0,4600
0.5,1.0,1.0,0.4318181818181818,0.3807106598984772,0.0,3200
0.5,1.0,0.0,0.9090909090909092,0.9898477157360408,1.0,5500
0.65625,0.0,1.0,0.5126136363636363,0.634517766497462,1.0,9650
0.4375,0.0,1.0,0.5,0.3299492385786802,0.0,2000
0.4375,0.0,1.0,0.2045454545454545,0.3807106598984772,0.0,1000
0.75,1.0,1.0,0.375,0.3807106598984772,0.0,7500
0.90625,0.0,1.0,0.0818181818181818,0.3807106598984772,1.0,18499
0.8125,1.0,1.0,0.2318181818181818,0.5329949238578681,1.0,12500
0.46875,1.0,1.0,0.0065886363636363,0.8883248730964467,0.0,6100
0.4375,1.0,0.0,0.4735613636363636,0.634517766497462,0.0,4600
0.6875,1.0,1.0,0.3818181818181818,0.3299492385786802,0.0,7999
0.9375,0.0,1.0,0.0056818181818181,0.5329949238578681,1.0,18999
0.875,1.0,0.0,0.0,0.7360406091370558,1.0,21490
0.46875,0.0,1.0,0.4318181818181818,0.5817258883248732,0.0,6300
0.6875,0.0,0.0,0.4772727272727273,0.3299492385786802,0.0,6400
0.78125,1.0,1.0,0.3636363636363636,0.634517766497462,1.0,12200
0.46875,0.0,0.0,0.4090909090909091,0.3807106598984772,0.0,3300
